,title,artist_name
0,Mirrors,Blue Oyster Cult
1,Career Of Evil,Blue Oyster Cult
2,Subhuman,Blue Oyster Cult
3,I Adore You,Tone-Loc
4,Safer On The Outside,American Hi-Fi
5,Baby Come Home (Album Version),American Hi-Fi
6,When The Breeders Were Big,American Hi-Fi
7,Nico Norte,Lady Bug Transistor
8,Brighton Bound,Lady Bug Transistor
9,Going Up North (Icicles),Lady Bug Transistor
10,Here Comes The Rain,The Ladybug Transistor
11,Broken Links,The Ladybug Transistor
12,Terry,The Ladybug Transistor
13,I'm Not Mad Enough,The Ladybug Transistor
14,Aleida's Theme,Lady Bug Transistor
15,Cienfuegos,Lady Bug Transistor
16,My Diamond Star Car,Deerhoof
17,Adam+Eve Connection,Deerhoof
18,Look Away,Deerhoof
19,Halfmole Halfbird,Deerhoof
20,Trickybird,Deerhoof
21,Dead Beast Queen,Deerhoof
22,The Moose's Daughter,Deerhoof
23,Chandelier Searchlight,Deerhoof
24,The Tears and Music of Love,Deerhoof
25,Gore In Crown (live),Deerhoof
26,Running Thoughts,Deerhoof
27,Vegas,Sara Bareilles
28,Breaxxbaxx,Land Of Talk
29,Magnetic Hill,Land Of Talk
30,Dark Nature Places,Land Of Talk
31,Some Are Lakes,Land Of Talk
32,Lie To Me,Brook Benton
33,Take it To the Top,DeBarge
34,Looking For A Song,Big Audio Dynamite
35,Albert Einstein Meets The Human Beatbox,Big Audio Dynamite
36,E=MC2,Big Audio Dynamite
37,Stone Thames,Big Audio Dynamite
38,Sudden Impact!,Big Audio Dynamite
39,This Is Big Audio Dynamite,Big Audio Dynamite
40,Baby Come And Get It,The Pointer Sisters
41,Don't It Drive You Crazy,The Pointer Sisters
42,Moonlight Dancing,The Pointer Sisters
43,Got To Find Love,The Pointer Sisters
44,Sailor,Essie Jain
45,Talking,Essie Jain
46,Just an Illusion,Imagination
47,Flashback,Imagination
48,Beach Baby,Miracle Fortress
49,Sun Sightings,Miracle Fortress
50,Hanky Panky Nohow,Miracle Fortress
51,Silently Falling (LP Version),Chris Squire
52,Lucky Seven (LP Version),Chris Squire
53,Lettin' It Loose,Heatwave
54,Central Heating,Heatwave
55,Sho'Nuff Must Be Luv,Heatwave
56,It's A Long Way Around,Burning Spear
57,Jordan River,Burning Spear
58,I W.I.N.,Burning Spear
59,Hail H.I.M.,Burning Spear
60,Cultivation,Burning Spear
61,Land Of My Birth,Burning Spear
62,Helpless,Crosby_ Stills_ Nash and Young
63,Our House,Crosby_ Stills_ Nash and Young
64,Teach Your Children,Crosby_ Stills_ Nash & Young
65,Woodstock,Crosby_ Stills_ Nash and Young
66,Deja Vu,Crosby_ Stills_ Nash & Young
67,With You,Frankie Valli
68,Look At The World_ It's Changing,Frankie Valli
69,Rolling Down The Hills (LP Version),Carly Simon
70,Life Is Eternal,Carly Simon
71,Nobody Does It Better,Carly Simon
72,Devoted To You,Carly Simon;James Taylor
73,Is This Love (LP Version),Carly Simon
74,My One and Only Love,Carly Simon
75,Moonlight Serenade,Carly Simon
76,In The Wee Small Hours Of The Morning,Carly Simon
77,Sangre Dolce,Carly Simon
78,Here She Comes,The Tymes
79,What Would I Do,The Tymes
80,Fallin' In Love,The Seeds
81,The Other Place,The Seeds
82,Flower Lady And Her Assistant,The Seeds
83,Sad And Alone,The Seeds
84,Daisy Mae,The Seeds
85,Wherewithal,Clifford T. Ward
86,It's Better To Believe,Clifford T. Ward
87,Session Singer,Clifford T. Ward
88,Learning My Part,Clifford T. Ward
89,Love In The Song,Clifford T. Ward
90,The Gloria Bosom Show,Clifford T. Ward
91,Ocean Of Love,Clifford T. Ward
92,God Rest Ye Merry Gentlemen (Album Version),Randy Travis
93,Price To Pay (Album Version),Randy Travis
94,Shopping For Dresses (Album Version),Randy Travis
95,Let Me Try (Album Version),Randy Travis
96,Oh_ What A Time To Be Me (Album Version),Randy Travis
97,Somewhere In My Broken Heart (Album Version),Randy Travis
98,Nothin's Gonna Bring Me Down [At Christmas Time] (LP Version),Randy Travis
99,This Is Me (Album Version),Randy Travis
100,Oscar The Angel (Album Version),Randy Travis
101,Cowboy Boogie (Album Version),Randy Travis
102,Hide And Seek,Martha And The Muffins
103,Sinking Land (2002 Digital Remaster),Martha And The Muffins
104,Limit,The Pale Fountains
105,Palm Of My Hand,The Pale Fountains
106,Faithful Pillow (Part 1),The Pale Fountains
107,Absolutely Everything,Lighthouse Family
108,Keep Remembering,Lighthouse Family
109,Sweetest Operator,Lighthouse Family
110,The Way You Are,Lighthouse Family
111,Postcard From Heaven,Lighthouse Family
112,(I Wish I Knew How It Would Feel To Be) Free/One,Lighthouse Family
113,Harper Valley P.T.A.,Jeannie C. Riley
114,Sweet Cream Ladies_ Forward March,The Box Tops
115,I Must Be The Devil,The Box Tops
116,Trouble With Sam,The Box Tops
117,I'll Hold Out My Hand,The Box Tops
118,I Can Dig It,The Box Tops
119,Sandman,The Box Tops
120,Everything I Am,The Box Tops
121,Gonna Find Somebody,The Box Tops
122,She Knows How,The Box Tops
123,Just can't get enough,Wallis Bird
124,Travelling Bird,Wallis Bird
125,An Idea About Mary,Wallis Bird
126,Your Morning Dream,Wallis Bird
127,To My Bones,Wallis Bird
128,Black Nights,Lowell Fulson
129,San Francisco Blues,Lowell Fulson
130,Don't Be So Evil,Lowell Fulson
131,Fading Away (Album Version),Green On Red
132,This I Know (Album Version),Green On Red
133,Black Night (Album Version),Green On Red
134,Wrong Side Of Love,Cheap Trick
135,Decaf,Cheap Trick
136,Come On Christmas,Cheap Trick
137,ELO Kiddies,Cheap Trick
138,On Top of the World,Cheap Trick
139,Dream Police,Cheap Trick
140,Never Had a Lot to Lose,Cheap Trick
141,People Sure Act Funny,Arthur Conley
142,This Love Of Mine,Arthur Conley
143,The Waltz,Tuxedomoon
144,Dark Temple,Tuxedomoon
145,Whirring,Arms
146,Sand,Isobel Campbell / Mark Lanegan
147,Carry Home,Isobel Campbell / Mark Lanegan
148,Rockin Round The World,Country Joe & The Fish
149,Mara,Country Joe & The Fish
150,Section 43,Country Joe & The Fish
151,Porpoise Mouth,Country Joe & The Fish
152,Janis,Country Joe & The Fish
153,Mind Of A Toy,Visage
154,Poems From The Unpublished Book Of The Blues (1999 Digital Remaster) (Feat. Al Cohn & Zoot Sims),Jack Kerouac Featuring Al Cohn & Zoot Sims
155,Old Western Movies (1999 Digital Remaster) (Feat. Al Cohn & Zoot Sims),Jack Kerouac Featuring Al Cohn & Zoot Sims
156,The Electric Kool-Aid Acid Test,Eight Legs
157,It's Gonna Take A Miracle,Deniece Williams
158,I Lie Awake,Cause Co-Motion!
159,Say What You Feel,Cause Co-Motion!
160,Graveyard,Jape
161,To The Sea,Jape
162,Olympics on Pot,The Ruby Suns
163,Adventure Tour,The Ruby Suns
164,Ole Rinka,The Ruby Suns
165,It's Mwangi In Front Of Me,The Ruby Suns
166,Listen On,The Railway Children
167,Music Stop,The Railway Children
168,Too Much Monkey Business,Milli Vanilli
169,The Liquidator,Harry J Allstars
170,Jay Moon Walk,Harry J Allstars
171,According To My Heart,Jim Reeves
172,Butterfly Love,Jim Reeves
173,I Know One,Jim Reeves
174,May The Good Lord Bless And Keep You,Jim Reeves
175,Have I Told You Lately That I Love You,Jim Reeves
176,We Could,Jim Reeves
177,Bimbo,Jim Reeves
178,This World Is Not My Home,Jim Reeves
179,Need Me,Jim Reeves
180,I Care No More,Jim Reeves
181,My Happiness,Jim Reeves
182,I'd Like To Be,Jim Reeves
183,Where Do I Go To Throw A Picture Away,Jim Reeves
184,When I Lost You,Jim Reeves
185,It's Only A Paper Moon,Jim Reeves
186,Adios Amigo,Jim Reeves
187,Four Walls,Jim Reeves
188,Old Tige,Jim Reeves
189,The Farmer And The Lord,Jim Reeves
190,I'm Hurtin' Inside,Jim Reeves
191,Penny Candy,Jim Reeves
192,Is It Really Over?,Jim Reeves
193,True,Jim Reeves
194,Blue Canadian Rockies,Jim Reeves
195,Overnight,Jim Reeves
196,Don't Feel That Way No More (LP Version),England Dan & John Ford Coley
197,Dowdy Ferry Road (LP Version),England Dan & John Ford Coley
198,The Prisoner (LP Version),England Dan & John Ford Coley
199,Showboat Gambler (LP Version),England Dan & John Ford Coley
200,I'd Really Love To See You Tonight (LP Version),England Dan & John Ford Coley
201,Hold Me (LP Version),England Dan & John Ford Coley
202,Beyond The Tears (LP Version),England Dan & John Ford Coley
203,Some Things Don't Come Easy (Single Version),England Dan & John Ford Coley
204,Bullets for You,Blurt
205,Cherry Blossom Polish (Live 13.12.1980),Blurt
206,Heaven Is A Place On Earth (Heavenly Version),Belinda Carlisle
207,Summer Rain (Justin Strauss Mix),Belinda Carlisle
208,World Without You (Extended Worldwide Mix),Belinda Carlisle
209,I Plead Insanity,Belinda Carlisle
210,Windows Of The World,Belinda Carlisle
211,Deep Deep Ocean,Belinda Carlisle
212,Valentine,Belinda Carlisle
213,(We Want) The Same Thing,Belinda Carlisle
214,Vision Of You,Belinda Carlisle
215,Call It Love,Soulsister
216,You Get To Me,Soulsister
217,Locks And Keys,Soulsister
218,Keep On Feeding Me,Soulsister
219,Small Hands Of Stone,Slapp Happy
220,Let's Travel Light,Slapp Happy
221,Tuyo (Take Me),Jon Secada
222,Mental Picture,Jon Secada
223,Dreams That I Carry,Jon Secada
224,Tu Mejor Amigo,Jon Secada
225,If You Go,Jon Secada
226,Tiempo Al Tiempo,Jon Secada
227,Sentir,Jon Secada
228,Ready For Love,Jon Secada
229,Amandolo,Jon Secada
230,The Christmas Gift I Want,Jon Secada
231,Trouble In The City,J.J. Cale
232,Devil's Nurse,J.J. Cale
233,After Midnight,J.J. Cale
234,Starbound,J.J. Cale
235,Crying,J.J. Cale
236,You Got Me On So Bad,J.J. Cale
237,Travelin' Light,J.J. Cale
238,The Apartment Song,Tom Petty
239,Yer So Bad,Tom Petty
240,A Face In The Crowd,Tom Petty
241,Runnin' Down A Dream,Tom Petty
242,I Won't Back Down,Tom Petty
243,Big Weekend (Album Version),Tom Petty
244,Square One (Album Version),Tom Petty
245,Turn This Car Around (Album Version),Tom Petty
246,Only A Broken Heart (Album Version),Tom Petty
247,Wildflowers (Album Version),Tom Petty
248,Don't Fade On Me (Album Version),Tom Petty
249,House In The Woods (Album Version),Tom Petty
250,You Think You're Hot Stuff,Jean Knight
251,You City Slicker,Jean Knight
252,Mr Big Stuff,Jean Knight
253,Runnin' Around,Colbie Caillat
254,Begin Again,Colbie Caillat
255,Magic,Colbie Caillat
256,Capri,Colbie Caillat
257,Turn Your Lights Down Low,Colbie Caillat
258,Feelings Show,Colbie Caillat
259,One Fine Wire,Colbie Caillat
260,Midnight Bottle,Colbie Caillat
261,Tied Down,Colbie Caillat
262,Low Happening,Howling Bells
263,Setting Sun,Howling Bells
264,I'm Not Afraid,Howling Bells
265,Scratch The Surface,The Week That Was
266,Model Country,Belbury Poly
267,And The Cuckoo Comes to Belbury,Belbury Poly
268,Tangled Beams,Belbury Poly
269,The People,Belbury Poly
270,Down On The Street (Take 2),The Stooges
271,Loose (Take 19),The Stooges
272,T.V. Eye (Take 3),The Stooges
273,Loose (Take 16),The Stooges
274,Loose (Take 6),The Stooges
275,Loose (Take 13),The Stooges
276,Rubber Legs ,Iggy & The Stooges
277,Mexican Guy,The Stooges
278,Dancing With A Stranger,Cyndi Lauper
279,Until You Come Back To Me (That's What I'm Gonna Do),Cyndi Lauper
280,On The Sunny Side Of The Street,Cyndi Lauper
281,Into The Nightlife,Cyndi Lauper
282,Raging Storm,Cyndi Lauper
283,December Child,Cyndi Lauper
284,Broken Glass,Cyndi Lauper
285,Witness,Cyndi Lauper
286,Someone Like Me,Cyndi Lauper
287,Google Eye,The Nashville Teens
288,Poetry In Motion,Johnny Tillotson
289,I Fall to Pieces,Johnny Tillotson
290,It Keeps Right on A-Hurtin',Johnny Tillotson
291,Dreamy Eyes,Johnny Tillotson
292,Poetry in Motion,Johnny Tillotson
293,It Keeps Right On A-Hurtin',Johnny Tillotson
294,Empty Feeling,Johnny Tillotson
295,Judy Judy Judy,Johnny Tillotson
296,The Phantom Of The Opera,Sarah Brightman / Steve Harley
297,A Love Supreme,Will Downing
298,She,Will Downing
299,God Is So Amazing,Will Downing
300,Statue of a Fool,Will Downing
301,What's It Gonna Be,Will Downing
302,A Promise,Will Downing
303,Iwasadoledadstoyboy,The Style Council
304,Internationalists,The Style Council
305,One Nation Under A Groove,The Style Council
306,Meeting (Over) Up Yonder,The Style Council
307,Boy Who Cried Wolf,The Style Council
308,Headstart For Happiness,The Style Council
309,The Stand Up Comic's Instructions,The Style Council
310,Everything To Lose,The Style Council
311,Mick's Up,The Style Council
312,Strength Of Your Nature,The Style Council
313,Watch The Moon Come Down,Graham Parker & The Rumour
314,Black/White,Mr. Mister
315,Control,Mr. Mister
316,The Tube,Mr. Mister
317,Healing Waters,Mr. Mister
318,Stand And Deliver,Mr. Mister
319,Watching The World,Mr. Mister
320,Help Stamp Out Loneliness,Nancy Sinatra
321,You're Gonna Make Love To Me,Nancy Sinatra
322,Something,Nancy Sinatra
323,Parisienne Walkways,Gary Moore / Phil Lynott
324,S'Wonderful / I Get A Kick Out Of You,Matt Monro
325,Portrait Of My Love,Matt Monro
326,When You Wish Upon A Star,Matt Monro
327,A Story Of Ireland,Matt Monro
328,Michelle,Matt Monro
329,Sand In My Shoes,Dido
330,See The Sun,Dido
331,Stoned,Dido
332,This Land Is Mine,Dido
333,White Flag,Dido
334,Hunter,Dido
335,Let's Do The Things We Normally Do,Dido
336,Ashes To Ashes,Wayne Fontana / The Mindbenders
337,Autumn Song,Incognito
338,She Wears Black,Incognito
339,Everything Your Heart Desires (Bluey's Black Sunshine Remix),Incognito
340,That's The Way Of The World (Ski Oakenfull Vs Incognito Remix),Incognito
341,Come Away With Me,Incognito
342,Get Into My Groove,Incognito
343,Metropolis,Incognito
344,Don't You Worry 'Bout A Thing,Incognito
345,Expresso Madureira,Incognito
346,Roots,Incognito
347,N.O.T.,Incognito
348,People At The Top,Incognito
349,Blue (I'm Still Here With You),Incognito
350,Sing,Sniff 'n' The Tears
351,New Lines On Love,Sniff 'n' The Tears
352,Slide Away,Sniff 'n' The Tears
353,If I Knew Then,Sniff 'n' The Tears
354,Bad Mood (Roger's Nu Solution Vocal),Lonnie Gordon
355,Stay Together,Lonnie Gordon
356,Ice & Snow,Sambassadeur
357,Between the Lines,Sambassadeur
358,The Only Living Girl,Sambassadeur
359,Stationary,The Matthew Herbert Big Band
360,Tongue Gone Cold,Fun 'Da' Mental
361,Godevil,Fun 'Da' Mental
362,New World Order,Fun 'Da' Mental
363,Seize the Time,Fun 'Da' Mental
364,Sunday School,FUNDAMENTAL
365,Tagai Soul,Fun 'Da' Mental
366,Pollution,Fun 'Da' Mental
367,Spy-cat,Fun 'Da' Mental
368,Race2war,Fun 'Da' Mental
369,Chantilly Lace,The Big Bopper
370,Russian Roulette,Lords Of The New Church
371,New Church,Lords Of The New Church
372,Li'l Boys Play With Dolls,Lords Of The New Church
373,Question Of Temperature,Lords Of The New Church
374,I Could Be So Good For You,Attic Lights
375,Never Get Sick Of The Sea,Attic Lights
376,Microscopic View,Pernice Brothers
377,Cruelty to Animals,Pernice Brothers
378,Starvin'  (LP Version),The Trammps
379,Feet Don't Fail Me Now,The Trammps
380,Stop And Think,The Trammps
381,Love Is A Funky Thing (LP Version),The Trammps
382,Can We Come Together (LP Version),The Trammps
383,Our Love Was Saved By Spacemen,The Pipettes
384,Susie Q,Dale Hawkins
385,Camera (LP Version),Crosby_ Stills & Nash
386,In My Life (LP Version),Crosby_ Stills & Nash
387,Bad Boyz (LP Version),Crosby_ Stills & Nash
388,Street To Lean On  (LP Version),Crosby_ Stills & Nash
389,Long Time Gone [1968 Demo],David Crosby & Stephen Stills
390,Almost Cut My Hair [1969 Demo],David Crosby
391,You Don't Have To Cry [1968 Demo],Stephen Stills
392,Daylight Again  (LP Version),Crosby_ Stills & Nash
393,Straight Line  (LP Version),Crosby_ Stills & Nash
394,Yours And Mine  (LP Version),Crosby_ Stills & Nash
395,(Got To Keep) Open  (LP Version),Crosby_ Stills & Nash
396,Suite: Judy Blue Eyes,Crosby_ Stills & Nash
397,Friend (Touche Pas A Mon Pote),Working Week
398,Sweet Nothing,Working Week
399,Got To Get Better In A Little While,Derek & The Dominos
400,Give 'Em Hell,Witchfynde
401,Indiana Wants Me,R. Dean Taylor
402,My Lady Bug Stay Away From That Beatle,R. Dean Taylor
403,Let's Go Somewhere,R. Dean Taylor
404,Jingle_ Jangle,The Archies
405,Throw A Little Love My Way,The Archies
406,Spanish Harlem,Ben E. King
407,Sweet Rhapsody (LP Version),Ben E. King
408,Let The Water Run Down  ( LP Version),Ben E. King
409,Si Senor (LP Version),Ben E. King
410,Granada (LP Version),Ben E. King
411,Now That We Found Love,Third World
412,Try Jah Love,Third World
413,Now That We've Found Love,Third World
414,Riddim Haffe Rule,Third World
415,Mi Legal,Third World
416,Got To Get Along,Third World
417,Three In One,The Upsetters
418,Dracula,The Upsetters
419,Dub Dat,The Upsetters
420,Communist Daughter,Neutral Milk Hotel
421,Where You'll Find Me Now,Neutral Milk Hotel
422,Naomi,Neutral Milk Hotel
423,Wheel Me Out,Was (Not Was)
424,Shake Your Head,Was (Not Was)
425,Till We Ain't Strangers Anymore - Duet with Bon Jovi,LeAnn Rimes
426,What I Cannot Change,LeAnn Rimes
427,I Want You With Me,LeAnn Rimes
428,The Dead End,Ian McCulloch
429,Fear Of The Known,Ian McCulloch
430,Pots Of Gold,Ian McCulloch
431,Toad,Ian McCulloch
432,Sliding,Ian McCulloch
433,Riding On A Train,The Pasadenas
434,Its Not Goodbye,Lisa Loeb
435,Taffy,Lisa Loeb & Nine Stories
436,Stay (Acoustic) ,Lisa Loeb
437,Why The People Tape?,Lisa Loeb
438,Recording The Purple Tape,Lisa Loeb
439,Underwater Journey,Voice Of The Seven Woods
440,Valley Of The Rocks,Voice Of The Seven Woods
441,Don't Want To Know If You Are Lonely,Husker Du
442,Dead Set On Destruction,Husker Du
443,All This I've Done For You,Husker Du
444,Standing In The Rain,Husker Du
445,Morning,frYars
446,Serinity,Lisa Gerrard
447,In Exile,Lisa Gerrard
448,Space Weaver,Lisa Gerrard
449,Mirror Medusa,Lisa Gerrard
450,Samurai,Crosby & Nash
451,Half Your Angels,Crosby & Nash
452,Don't Dig Here,Crosby & Nash
453,Cowboy Of Dreams,Crosby & Nash
454,Superior Mind,Amy Studt
455,Going Out Of My Mind,Amy Studt
456,Misfit,Amy Studt
457,In My Mind A Miracle,The Zombies
458,Don't Cry for Me,The Zombies
459,I Must Move,The Zombies
460,Is This the Dream,The Zombies
461,Girl Help Me,The Zombies
462,I Know She Will,The Zombies
463,Kind of Girl,The Zombies
464,Monster,Steppenwolf
465,Draft Resister,Steppenwolf
466,From Here To There Eventually,Steppenwolf
467,Berry Rides Again,Steppenwolf
468,Let Your Light In_ Babe,Robert Forster
469,Did She Overtake You,Robert Forster
470,On A Street Corner,Robert Forster
471,The Witch,The Sonics
472,Only She Would Do,The Sonics
473,I'm A Man,The Sonics
474,Love Resurrection,Alison Moyet
475,Blue,Alison Moyet
476,Whispering Your Name,Alison Moyet
477,Another Living Day,Alison Moyet
478,Ode To Boy II,Alison Moyet
479,Love Letters,Alison Moyet
480,Solid Wood,Alison Moyet
481,This House,Alison Moyet
482,Running Scared,Nik Kershaw
483,Roses,Nik Kershaw
484,Not That Big,temposhark
485,Winter's Coming,temposhark
486,The World Does Not Revolve Around You,temposhark
487,The Impossible Dream,Carter USM
488,England,Carter USM
489,The Aftertaste Of Paradise,Carter USM
490,A Bachelor For Baden Powell,Carter USM
491,Stuff The Jubilee (1977),Carter USM
492,Gas (Man),Carter USM
493,Senile Delinquent,Carter USM
494,My Defeatist Attitude,Carter USM
495,Pull Up To The Bumper,Grace Jones
496,Paper Plan (2004 Digital Remaster),Grace Jones
497,Someone To Love (Digitally Remastered 2004),Grace Jones
498,Victor Should Have Been A Jazz Musician (2004 Digital Remaster),Grace Jones
499,What I Did For Love,Grace Jones
500,Man Around The House,Grace Jones
501,Living My Life,Grace Jones
502,All On A Summers Night,Grace Jones
503,Bullshit,Grace Jones
504,Smarty Pants,First Choice
505,The Player,First Choice
506,Hustler Bill,First Choice
507,You Took The Words Right Out Of My Mouth,First Choice
508,This Little Woman,First Choice
509,The Player (Olav Basoski Club Mix),First Choice
510,The Player (Olav Basoski Bonus Beats),First Choice
511,The Player (Olav Basoski Dub),First Choice
512,Three Is A Magic Number,Blind Melon
513,Seed To A Tree (Explicit),Blind Melon
514,Holyman,Blind Melon
515,Soup,Blind Melon
516,John Sinclair,Blind Melon
517,Pull,Blind Melon
518,Soul One,Blind Melon
519,New Life,Blind Melon
520,2 X 4,Blind Melon
521,St. Andrew's Fall,Blind Melon
522,Skinned,Blind Melon
523,Politician,Jack Bruce
524,Without A Word,Jack Bruce
525,Madhouse,Jack Bruce
526,The Boy,Jack Bruce
527,Waiting on a Word,Jack Bruce
528,Kick Start My Heart (LP Version),Alannah Myles
529,Still Got This Thing (LP Version),Alannah Myles
530,If You Want To,Alannah Myles
531,Tumbleweed (LP Version),Alannah Myles
532,Song Instead Of A Kiss (LP Version),Alannah Myles
533,Stood Before Saint Peter,The Icicle Works
534,Up Here In The North Of England,The Icicle Works
535,All The Daughters (Of Her Father's House),The Icicle Works
536,Boonoonoonoos,Boney M.
537,Winter Fairy-Tale,Boney M.
538,Oh Christmas Tree,Boney M.
539,Barbarella Fortuneteller,Boney M.
540,Felicidad,Boney M.
541,When A Child Is Born,Boney M.
542,Love For Sale,Boney M.
543,Let It All Be Music,Boney M.
544,(I Need A) Babysitter,Boney M.
545,Wild Planet,Boney M.
546,10.000 Lightyears,Boney M.
547,Sad Movies,Boney M.
548,Big Girls Don't Cry,The Weather Girls
549,Land Of The Believer,The Weather Girls
550,Dear Santa (Bring Me A Man This Christmas),The Weather Girls
551,Hurt,The Manhattans
